identifier,keyword
http://resolver.kb.nl/resolve?urn=ddd:010136441:mpeg21:a0006,verspreding
http://resolver.kb.nl/resolve?urn=ddd:010250816:mpeg21:a0006,quarantaine
http://resolver.kb.nl/resolve?urn=ddd:010250835:mpeg21:a0001,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010262593:mpeg21:a0001,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010251815:mpeg21:a0003,besmetting
http://resolver.kb.nl/resolve?urn=ddd:010251815:mpeg21:a0003,quarantaine
http://resolver.kb.nl/resolve?urn=ddd:010251880:mpeg21:a0004,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010264828:mpeg21:a0005,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010264894:mpeg21:a0062,verspreding
http://resolver.kb.nl/resolve?urn=MMSADB01:000004150:mpeg21:a0024,ziekte
http://resolver.kb.nl/resolve?urn=MMSADB01:000004150:mpeg21:a0024,vaccin
http://resolver.kb.nl/resolve?urn=ddd:011089315:mpeg21:a0017,ziekte
http://resolver.kb.nl/resolve?urn=MMKB23:003486009:mpeg21:a00006,ziekte
http://resolver.kb.nl/resolve?urn=MMKB23:003486009:mpeg21:a00006,verspreding
http://resolver.kb.nl/resolve?urn=KBDDD02:000213002:mpeg21:a0006,virus
http://resolver.kb.nl/resolve?urn=KBDDD02:000213002:mpeg21:a0006,verspreding
http://resolver.kb.nl/resolve?urn=KBDDD02:000204495:mpeg21:a0007,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010721956:mpeg21:a0004,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010495901:mpeg21:a0019,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010556414:mpeg21:a0040,ziekte
http://resolver.kb.nl/resolve?urn=MMKB19:000673144:mpeg21:a00002,quarantaine
http://resolver.kb.nl/resolve?urn=ddd:010151943:mpeg21:a0004,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010389348:mpeg21:a0003,verspreding
http://resolver.kb.nl/resolve?urn=ddd:010117140:mpeg21:a0026,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010117140:mpeg21:a0026,vaccin
http://resolver.kb.nl/resolve?urn=ddd:010131356:mpeg21:a0020,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010131356:mpeg21:a0020,verspreding
http://resolver.kb.nl/resolve?urn=ddd:010332056:mpeg21:a0005,quarantaine
http://resolver.kb.nl/resolve?urn=ddd:010138072:mpeg21:a0008,verspreding
http://resolver.kb.nl/resolve?urn=ddd:010276934:mpeg21:a0005,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010276937:mpeg21:a0023,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010276916:mpeg21:a0011,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010105146:mpeg21:a0019,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010871968:mpeg21:a0013,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010080142:mpeg21:a0014,ziekte
http://resolver.kb.nl/resolve?urn=MMWFA01:000184002:mpeg21:a00012,ziekte
http://resolver.kb.nl/resolve?urn=MMWFA01:000184002:mpeg21:a00012,griep
http://resolver.kb.nl/resolve?urn=ddd:000014385:mpeg21:a0024,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010082568:mpeg21:a0028,quarantaine
http://resolver.kb.nl/resolve?urn=ddd:010082604:mpeg21:a0004,ziekte
http://resolver.kb.nl/resolve?urn=ddd:000021634:mpeg21:a0030,ziekte
http://resolver.kb.nl/resolve?urn=ddd:000021634:mpeg21:a0030,griep
http://resolver.kb.nl/resolve?urn=ddd:010056798:mpeg21:a0007,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010070853:mpeg21:a0001,ziekte
http://resolver.kb.nl/resolve?urn=ddd:000014407:mpeg21:a0022,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010180100:mpeg21:a0005,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010121496:mpeg21:a0003,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010175163:mpeg21:a0008,besmetting
http://resolver.kb.nl/resolve?urn=ddd:010264607:mpeg21:a0006,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010120988:mpeg21:a0003,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010068494:mpeg21:a0002,ziekte
http://resolver.kb.nl/resolve?urn=ddd:010397639:mpeg21:a0002,ziekte
